id,label,group,level
822,NOP56,human protein,3
823,NOTCH1,human protein,3
824,NOTCH2,human protein,3
825,NOTCH3,human protein,3
826,NPC2,human protein,3
827,NPEPPS,human protein,3
828,NPLOC4,human protein,3
829,NPTX1,human protein,3
830,NR2C2,human protein,3
831,NR5A2,human protein,3
832,NRG1,human protein,3
833,NRP2,human protein,3
834,NRSN2,human protein,3
835,NSD2,human protein,3
836,NSF,human protein,3
837,Nsp15_NUTF2,human protein,3
838,nsp31W,human protein,3
839,nsp33W,human protein,3
840,Nsp8_SRP19,human protein,3
841,Nsp8_SRP54,human protein,3
842,Nsp8_SRP72,human protein,3
843,NT5C3A,human protein,3
844,NTS,human protein,3
845,NUBP2,human protein,3
846,NUBPL,human protein,3
847,NUP188,human protein,3
848,NUP205,human protein,3
849,NUP210,human protein,3
850,NUP214,human protein,3
851,NUP54,human protein,3
852,NUP58,human protein,3
853,NUP62,human protein,3
854,NUP88,human protein,3
855,NUP93,human protein,3
856,NUP98,human protein,3
857,NUTF2,human protein,3
858,NVL,human protein,3
859,OAT,human protein,3
860,OCIAD2,human protein,3
861,OPA3,human protein,3
862,OPN3,human protein,3
863,ORAI1,human protein,3
864,OS9,human protein,3
865,OSMR,human protein,3
866,OSTC,human protein,3
867,P3H4,human protein,3
868,PABPC1,human protein,3
869,PABPC4,human protein,3
870,PAICS,human protein,3
871,PAK1IP1,human protein,3
872,PAQR5,human protein,3
873,PC,human protein,3
874,PCBP1,human protein,3
875,PCBP2,human protein,3
876,PCCA,human protein,3
877,PCCB,human protein,3
878,PCDH9,human protein,3
879,PCDHA12,human protein,3
880,PCDHA4,human protein,3
881,PCDHAC2,human protein,3
882,PCDHGC3,human protein,3
883,PCNP,human protein,3
884,PCNT,human protein,3
885,PCSK6,human protein,3
886,PDE4DIP,human protein,3
887,PDIA3,human protein,3
888,PDLIM1,human protein,3
889,PDPR,human protein,3
890,PDS5A,human protein,3
891,PDZD11,human protein,3
892,PEG10,human protein,3
893,PEX10,human protein,3
